date,sum_open_interest,sum_open_interest_value
2024-03-08,74617.216184669,5053515039.653062
2024-03-09,73990.354,5044291842.140835
2024-03-10,73645.213,5034394125.2013
2024-03-11,77404.994,5340944586.0
2024-03-12,79647.54177351916,5711885237.062486
2024-03-13,78117.048,5585900127.9264
2024-03-14,80397.27,5878704756.455201
2024-03-15,83981.907,6000778051.831123
2024-03-16,79345.217,5515912006.656868
2024-03-17,76563.969,5003524281.7221
2024-03-18,78535.72,5375612962.56
2024-03-19,79931.57493031358,5147539042.981084
2024-03-20,77984.0289825784,4981971730.37609
2024-03-21,76952.183,5222252166.2388
2024-03-22,75531.95935888501,4885211750.743003
2024-03-23,73745.48572473868,4764046270.880462
2024-03-24,75564.87110801395,4931673757.293188
2024-03-25,77971.44180487805,5331677033.3379755
2024-03-26,78825.936,5511548858.088
2024-03-27,79655.738,5579073630.578137
2024-03-28,83137.811,5780796470.9197
2024-03-29,82678.9268118467,5793777648.535846
2024-03-30,80822.68981881533,5658554568.029312
2024-03-31,80226.288,5586667134.074837
2024-04-01,82700.764,5901774621.332
2024-04-02,84163.725,5866211632.5
2024-04-03,78042.079,5110906113.054349
2024-04-04,79883.78755052264,5345824791.519207
2024-04-05,76586.00690592335,5169200857.428055
2024-04-06,75898.03413240418,5164089947.894039
2024-04-07,76496.262,5270382006.24284
2024-04-08,80048.156,5552620389.096
2024-04-09,80241.385,5751351290.988701
2024-04-10,79750.94344250871,5521065562.532185
2024-04-11,81718.34725087107,5759929502.104122
2024-04-12,81696.93,5722711140.415252
2024-04-13,80077.322,5377104087.2458
2024-04-14,66896.244,4276344489.037807
2024-04-15,67002.787,4397016459.690168
2024-04-16,66250.18366550523,4170319651.0640106
2024-04-17,64171.039,4092548375.8085313
2024-04-18,67844.37443554007,4231633056.4213414
2024-04-19,67633.638,4291016162.91
2024-04-20,66202.80517770034,4247857162.5528007
2024-04-21,67321.0371881533,4370605641.9449625
2024-04-22,67779.26839372823,4472659966.835471
2024-04-23,69298.93305923344,4603728302.213103
2024-04-24,69050.44895818815,4537444671.743728
2024-04-25,68970.9466271777,4426277885.414933
2024-04-26,67226.03992682927,4310258971.719234
2024-04-27,67490.33197212544,4256260359.8717113
2024-04-28,67497.79642160279,4297029056.06144
2024-04-29,65747.694,4147916818.1496
2024-04-30,70555.95704181185,4356015233.84492
2024-05-01,71366.69312195122,4162116767.601419
2024-05-02,69090.82237979093,4030714180.3496704
2024-05-03,67561.195,3988596756.976
2024-05-04,72115.025,4532696146.8425
2024-05-05,73775.775,4711630849.755
2024-05-06,72614.07,4646429111.16
2024-05-07,71673.96497212544,4548509998.924949
2024-05-08,70977.329,4421596589.6511
2024-05-09,69698.073,4262706693.0310535
2024-05-10,69749.117,4397688801.7617
2024-05-11,71763.433,4361645107.2173
2024-05-12,70961.068,4315085776.2256
2024-05-13,70868.90233449476,4416594716.022164
2024-05-14,69502.68411498258,4304245599.2716675
2024-05-15,67758.064,4170641640.0340314
2024-05-16,73355.25543205575,4823815780.55518
2024-05-17,72377.85,4720324145.73
2024-05-18,74105.612,4963738682.055527
2024-05-19,76051.85495818815,5082283196.888513
2024-05-20,76615.07378745645,5178211481.859137
2024-05-21,70473.906,5036171033.619
2024-05-22,78452.073,5504327639.2936945
2024-05-23,76008.9996933798,5233165657.481816
2024-05-24,70841.347,4817445372.4451
2024-05-25,71476.89406968642,4931563583.68036
2024-05-26,71933.20275261324,4963100539.569083
2024-05-27,71675.49840766551,4959454322.033956
2024-05-28,71580.708,4972110506.8128
2024-05-29,74176.86537630662,5044502360.581287
2024-05-30,76232.589,5159932381.8663
2024-05-31,74250.547,5078538140.023653
2024-06-01,76516.484,5170290748.289956
2024-06-02,76139.04903832753,5167702197.33175
2024-06-03,78227.47236585367,5399219491.986458
2024-06-04,79766.23456794425,5557018134.682245
2024-06-05,81171.017,5729050379.86
2024-06-06,82454.506,5865261111.6498
2024-06-07,83798.32050174216,5923856880.936822
2024-06-08,82372.639,5714774813.1669
2024-06-09,83482.286,5789204346.099
2024-06-10,84889.15099303136,5909345276.932903
2024-06-11,84363.92306968641,5696803933.471677
2024-06-12,82672.343,5565232499.896793
2024-06-13,81189.437,5542733861.605481
2024-06-14,82145.939,5485894277.751423
2024-06-15,79859.3337108014,5287005773.474808
2024-06-16,81144.84058188154,5390221989.88967
2024-06-17,80884.799,5391632282.896711
2024-06-18,79507.17263763066,5182403912.80869
2024-06-19,77014.4362195122,5015774092.972668
2024-06-20,75443.813,4899797084.020751
2024-06-21,76362.56435888502,4901008559.221833
2024-06-22,77689.38320905923,4993108479.773295
2024-06-23,77924.50406968642,5002165671.379035
2024-06-24,77593.986,4903544185.8714
2024-06-25,76111.899,4587530544.3765
2024-06-26,75584.461,4669622161.677213
2024-06-27,74876.9,4557136663.650675
2024-06-28,76306.46217770035,4669087680.839858
2024-06-29,79074.2461010453,4819245280.554881
2024-06-30,82588.51591986063,5083547834.40323
2024-07-01,83034.53281533101,5242385602.716373
2024-07-02,83916.28442857144,5247177492.757897
2024-07-03,84473.518,5247790595.473
2024-07-04,89202.72114982578,5200007415.207285
2024-07-05,88552.548,5051533909.162403
2024-07-06,83117.828,4705217125.252
2024-07-07,80177.383,4667614546.4663
2024-07-08,81293.278,4538953271.8354
2024-07-09,78848.787,4470642111.93498
2024-07-10,82178.811,4768513096.899871
2024-07-11,0.0,0.0
2024-07-12,72072.33448432056,4139018595.406387
2024-07-13,0.0,0.0
2024-07-14,61089.333003484324,3664643249.8042603
2024-07-15,84969.235,5163249030.9335
2024-07-16,83978.3280174216,5385836660.853452
2024-07-17,82307.11936236934,5349693609.627854
2024-07-18,78999.88053658538,5079017731.620087
2024-07-19,78588.674,5026531589.04
2024-07-20,84274.956,5615334248.994417
2024-07-21,82614.88497212544,5546919493.8693075
2024-07-22,81286.9956097561,5489676198.901518
2024-07-23,81724.5482891986,5440205848.314187
