date,cm_price_usd,cm_market_cap_usd,cm_mvrv,cm_active_addresses,cm_tx_count,cm_hash_rate,cm_fees_btc,cm_exchange_inflow_usd,cm_exchange_outflow_usd,cm_supply,cm_exchange_supply_usd,cm_spot_volume_usd,cm_roi_30d,cm_roi_1y
2015-05-06,229.481219300429,3243106562.193164,0.78562752,270868,111252,381306.952007421,15.790563,10836623.829381026,12097013.127659785,14132339.77089602,322069995.56072533,16547130.0664731,-10.487358759651858,-46.64818153695528
2015-05-07,237.130687317358,3352047328.9478006,0.81202047,259340,110385,333939.628776685,15.86882482,10077606.073141333,10287878.7976643,14135864.77089602,332595521.33755547,12959212.3556649,-6.946230371288473,-46.37271135168151
2015-05-08,244.383472822911,3455488162.0896983,0.83681725,298182,110150,355254.924230516,16.75898401,13586241.542816171,10899940.911832988,14139614.77089602,345454457.16670054,13830832.3924223,-0.5864889032320365,-44.50909632853501
2015-05-09,242.705950029223,3432551362.7063966,0.83113721,235324,96017,305519.234838243,13.55162161,9208947.3353121,8230515.096071199,14142839.77089602,344061584.50801086,8424705.20790229,-0.4735024752456157,-46.38678541159114
2015-05-10,240.731483927528,3405403163.984579,0.82457424,267176,87291,305519.234838243,15.35133374,6722978.5031983005,6294217.5001878925,14146064.77069602,341691329.10691273,6077152.4722335,2.0602637581600782,-47.29536887517819
2015-05-11,242.24983722969,3427838774.99882,0.83050336,262404,110147,374201.85352281,17.10272336,13208661.852429876,10384325.874723176,14150014.77069602,346670797.2235705,9501272.58762545,2.038999385325551,-44.83219059053419
2015-05-12,242.209092051432,3428170514.2198277,0.83069449,273959,109607,355254.924230516,15.9899937,10564033.926681109,11479432.312329827,14153764.77069602,345697090.5905717,8100570.70343345,2.137145737338033,-45.112271674574565
2015-05-13,236.550265926359,3349034848.944277,0.81161902,252379,110562,383675.318168957,15.77876236,14351018.64511028,12833842.117731137,14157814.77069602,339137610.246704,12994272.7028599,4.897717965027931,-46.116821371146685
2015-05-14,236.948916715371,3355591126.3026547,0.81336253,241337,102057,364728.388876663,14.14628719,11324098.131124,11147664.719505059,14161664.77069602,339885581.700688,10187911.9439971,7.823032483280662,-46.73488312090861
2015-05-15,237.484502337814,3364048665.8897886,0.81536167,242013,104527,348149.825745906,15.03789239,8684026.178682841,9176949.887882032,14165339.77069602,340160915.6959679,6739932.80650478,6.345594199403687,-46.86690662870945
2015-05-16,235.812134424313,3341137186.217037,0.80981981,259761,89300,312624.333322854,12.94808374,6798188.867968119,5544708.53520842,14168639.77069602,339018979.92688936,3724656.5485597,3.2028521654361692,-47.450416130053576
2015-05-17,236.963682933957,3358466081.9732075,0.81389832,263667,89084,410256.527852824,13.37057143,5290609.097933488,4982760.028316513,14172914.77069602,340982370.6081749,3740258.61404013,6.364261015795361,-47.25023922992967
2015-05-18,232.88384961543,3301481333.929694,0.80026593,239338,96958,349377.602526406,14.62875523,10982136.402154716,11127793.215266632,14176514.77069602,334965977.74212414,8395183.05057851,4.246145272349637,-47.89635015886191
2015-05-19,231.974446814728,3289343088.6451774,0.79745588,258201,108963,315410.335614117,15.94676517,11193849.92476094,11511305.788966084,14179764.77069602,333340492.1506468,5738486.42738833,3.892041636553887,-48.1511111727114
2015-05-20,234.190306253653,3321612394.0908113,0.80520035,251166,104816,351803.835877284,14.75428306,11261824.563235627,10732947.513641829,14183389.77059602,337053494.37458724,7521684.35191521,4.133220691589621,-52.23877620708366
2015-05-21,235.553821741672,3341864436.7513223,0.81004487,236381,97997,376066.169386062,14.42830737,11408550.773984317,11649134.600992696,14187264.77049602,338775321.66195226,6387901.84586316,0.2615420566930195,-52.31061961908161
2015-05-22,240.323203682057,3410358036.1838894,0.82662537,248185,103038,334820.202421139,15.45300709,14243014.798762595,15586907.521462737,14190714.77049602,344290790.7998913,11472070.3054852,2.780223109292575,-54.38179848932017
2015-05-23,238.963281706604,3391728868.5088854,0.8221977,222628,87197,271738.135298316,12.864588,8141358.85313953,9021346.559274148,14193514.77049602,341462557.5428431,4669642.55534498,1.2842562282498955,-54.37013712780936
2015-05-24,240.711758328463,3417424495.1609354,0.82826864,282015,91128,354230.069228162,13.1338085,7792277.104377576,6718185.311730208,14197164.77039602,345035105.5620705,4044225.31194769,3.997763008540773,-54.38397709625365
2015-05-25,237.003543249562,3365613792.1716657,0.81597835,262222,107497,342098.902473773,15.73534058,9850064.033378758,8701303.027070576,14200689.77039602,340868528.46408224,5408509.61930762,4.66228177578338,-58.660667562104486
2015-05-26,236.796261250731,3363522711.3517814,0.8155281,274566,110959,349377.602526406,18.45803195,11412396.66867635,11497316.200235512,14204289.77039602,340485487.18738014,7205679.50832641,7.388935485858823,-59.511484791586355
2015-05-27,237.203596434833,3370126970.7481446,0.81731823,258192,106238,334820.202421139,15.82065777,13292666.597947253,12206801.7669203,14207739.77039602,342157052.6450765,7056485.61665273,4.34512836074084,-58.67016678814609
2015-05-28,236.956881940386,3367403673.12386,0.81693429,255987,110526,320262.802315872,16.14230756,10533968.797375096,12046485.274154786,14211039.77039602,340288660.011554,5214635.79599725,5.057656871927197,-59.08818166339993
2015-05-29,236.646526592636,3363904289.7064414,0.81601049,301378,130305,373639.936035185,18.900967,11953731.467934012,13782478.49163726,14214889.76889602,338014218.376458,6276119.34962601,4.864303087625089,-58.508492592537145
2015-05-30,232.788770017534,3309858187.054192,0.80519424,302015,122222,329967.735719384,16.07205974,9461267.445408178,9189687.111585189,14218289.76889602,332775569.626444,6963882.82530086,-1.4975823341840908,-62.50460906469275
2015-05-31,229.45054792519,3263243345.059638,0.79414393,294212,97356,356781.94209336,39.52465888,7663923.317964371,8096221.596867498,14221989.76889602,327571225.17780644,6206247.9362476,-1.4161474410264348,-63.45702856658636
2015-06-01,223.282701928697,3176261135.317753,0.77376466,316894,132668,312271.265830991,22.07609897,14144184.8110146,13881511.97388542,14225289.76889602,319028476.15803087,14459572.4124362,-5.203944639737502,-64.56251741548407
2015-06-02,225.320800993571,3206098638.097028,0.78141163,299987,125717,354853.71117158,18.17588862,13152248.763814831,13652694.839615032,14229039.76889602,321440085.6660685,9296243.12018,-6.297588122993902,-66.04086552748886
2015-06-03,225.213063413209,3205365142.156569,0.781559,295631,129398,335928.179909096,18.32997293,12054610.132007293,11744263.8656124,14232589.76889602,321596734.7287063,8503911.24591715,-5.7593899841793945,-66.50548524558037
2015-06-04,223.54007685564,3182342189.564728,0.77606861,270650,114685,333562.488501286,16.42116633,10783563.45730306,11540754.51154572,14236114.76889602,318450574.73098785,6393308.00542971,-5.289012624924351,-65.28273612888911
2015-06-05,224.731071887785,3200072653.7183056,0.78040202,261364,108893,326465.414277854,15.65542164,11554587.785453431,11621606.448352013,14239564.76884602,320080222.9826902,8877949.83168926,-2.0699503981740945,-66.02723158206149
2015-06-06,225.160513150205,3207189674.672468,0.78204257,271268,93591,421093.070590275,14.51350348,7945428.401431008,8357547.39269016,14244014.76884602,320279749.07405674,3722899.21502774,-5.047922857463411,-65.36702432492632
