date,solana_tvl_usd
2023-10-24,371082632
2023-10-25,362051282
2023-10-26,376865017
2023-10-27,379699781
2023-10-28,376767185
2023-10-29,376391144
2023-10-30,382350710
2023-10-31,415008313
2023-11-01,409813878
2023-11-02,424924596
2023-11-03,421368548
2023-11-04,433447939
2023-11-05,432762934
2023-11-06,423914697
2023-11-07,434207838
2023-11-08,443094992
2023-11-09,446577207
2023-11-10,470039052
2023-11-11,547162293
2023-11-12,537395517
2023-11-13,537117125
2023-11-14,516713833
2023-11-15,544052885
2023-11-16,602103717
2023-11-17,558536535
2023-11-18,563698917
2023-11-19,570406376
2023-11-20,588989150
2023-11-21,571051735
2023-11-22,549572285
2023-11-23,594442328
2023-11-24,595021123
2023-11-25,596198066
2023-11-26,614479362
2023-11-27,611124377
2023-11-28,596732588
2023-11-29,630180805
2023-11-30,645890063
2023-12-01,650515316
2023-12-02,663746082
2023-12-03,690178235
2023-12-04,688967503
2023-12-05,672526547
2023-12-06,677514480
2023-12-07,683634331
2023-12-08,780384877
2023-12-09,894730702
2023-12-10,889132574
2023-12-11,940569064
2023-12-12,914309665
2023-12-13,885476293
2023-12-14,908897403
2023-12-15,973902523
2023-12-16,1036618026
2023-12-17,1046874014
2023-12-18,1038834078
2023-12-19,1074804858
2023-12-20,1069715765
2023-12-21,1164737849
2023-12-22,1302113486
2023-12-23,1327500975
2023-12-24,1430558663
2023-12-25,1461486454
2023-12-26,1557274884
2023-12-27,1468001393
2023-12-28,1424593248
2023-12-29,1387315039
2023-12-30,1427882338
2023-12-31,1401807297
2024-01-01,1386507103
2024-01-02,1473711882
2024-01-03,1444589367
2024-01-04,1353477455
2024-01-05,1405859790
2024-01-06,1353502561
2024-01-07,1311034174
2024-01-08,1245245603
2024-01-09,1335094900
2024-01-10,1346040958
2024-01-11,1402503521
2024-01-12,1378725863
2024-01-13,1295473658
2024-01-14,1363838216
2024-01-15,1361975795
2024-01-16,1348461730
2024-01-17,1384963942
2024-01-18,1426753029
2024-01-19,1350849007
2024-01-20,1352046910
2024-01-21,1359345013
2024-01-22,1345563597
2024-01-23,1276799912
2024-01-24,1278723260
2024-01-25,1322968909
2024-01-26,1311621404
2024-01-27,1376068203
2024-01-28,1419365065
2024-01-29,1539548330
2024-01-30,1601999186
2024-01-31,1604132793
2024-02-01,1596724742
2024-02-02,1628397463
2024-02-03,1642890164
2024-02-04,1623844887
2024-02-05,1632247289
2024-02-06,1657656038
2024-02-07,1669486555
2024-02-08,1733232356
2024-02-09,1745579942
2024-02-10,1815339271
2024-02-11,1855001067
2024-02-12,1852417978
2024-02-13,1925937882
2024-02-14,1901005956
2024-02-15,1964541031
2024-02-16,1943552592
2024-02-17,1928850944
2024-02-18,1924222522
2024-02-19,1979797854
2024-02-20,2073689013
2024-02-21,2028103112
2024-02-22,2005541138
2024-02-23,1981314292
2024-02-24,1950464021
2024-02-25,2015345651
2024-02-26,2009769840
2024-02-27,2120963290
2024-02-28,2144502181
2024-02-29,2301826901
2024-03-01,2423027537
2024-03-02,2515676415
2024-03-03,2530637347
2024-03-04,2591262415
2024-03-05,2644829513
2024-03-06,2553977578
2024-03-07,2828976305
2024-03-08,3008546861
2024-03-09,3133963228
2024-03-10,3182360610
2024-03-11,3172984559
2024-03-12,3254324793
2024-03-13,3261390302
2024-03-14,3631156519
2024-03-15,3811795094
2024-03-16,3915872761
2024-03-17,3795200232
2024-03-18,4195903616
2024-03-19,4098443240
2024-03-20,3714326616
2024-03-21,4206198031
2024-03-22,4002274576
2024-03-23,3924650378
2024-03-24,4091823209
2024-03-25,4408508090
2024-03-26,4581580893
2024-03-27,4650133379
2024-03-28,4565577542
2024-03-29,4670664597
2024-03-30,4772318026
2024-03-31,4786840322
2024-04-01,4869002041
2024-04-02,4766490354
2024-04-03,4679587527
2024-04-04,4693186593
2024-04-05,4542766802
2024-04-06,4443898160
2024-04-07,4505658196
2024-04-08,4536641173
2024-04-09,4600451158
2024-04-10,4438418967
2024-04-11,4467367779
2024-04-12,4330754323
2024-04-13,3864185981
2024-04-14,3429300409
2024-04-15,3772216324
2024-04-16,3535168798
2024-04-17,3539974764
2024-04-18,3464165282
2024-04-19,3632310826
2024-04-20,3727503293
2024-04-21,3903942364
2024-04-22,3918440819
2024-04-23,4022024683
2024-04-24,4044384786
2024-04-25,3853000229
2024-04-26,3878397046
2024-04-27,3727721183
2024-04-28,3888056622
2024-04-29,3916489206
2024-04-30,3885347808
2024-05-01,3704073387
2024-05-02,3836786803
2024-05-03,3936916416
2024-05-04,4067944971
2024-05-05,4153926951
2024-05-06,4121560534
2024-05-07,4269095749
2024-05-08,4190940959
2024-05-09,4061704417
2024-05-10,4261501892
2024-05-11,4184959769
2024-05-12,4182438656
2024-05-13,4134418250
2024-05-14,4167004126
2024-05-15,4042814768
2024-05-16,4415955592
2024-05-17,4456997102
2024-05-18,4638942333
2024-05-19,4689823454
2024-05-20,4689618950
2024-05-21,4992484962
2024-05-22,4869403447
2024-05-23,4885756632
2024-05-24,4851986932
2024-05-25,4753783857
2024-05-26,4763669230
2024-05-27,4688970391
2024-05-28,4868132650
2024-05-29,4884068509
2024-05-30,4864941919
2024-05-31,4823159306
2024-06-01,4817494611
2024-06-02,4837661654
2024-06-03,4784706820
2024-06-04,4809534599
2024-06-05,4890868915
2024-06-06,4877124826
2024-06-07,4801157121
2024-06-08,4628858013
2024-06-09,4580257861
2024-06-10,4621987236
2024-06-11,4579177987
2024-06-12,4373039690
2024-06-13,4527781823
2024-06-14,4336807764
2024-06-15,4274671802
2024-06-16,4313994854
2024-06-17,4396067792
2024-06-18,4269065549
2024-06-19,4148461756
2024-06-20,4136321655
2024-06-21,4118832789
2024-06-22,4103201037
2024-06-23,4117810800
2024-06-24,4037042904
2024-06-25,4067594784
2024-06-26,4207105359
2024-06-27,4216378991
2024-06-28,4429295058
2024-06-29,4248607574
2024-06-30,4277088700
2024-07-01,4416629144
2024-07-02,4419055858
2024-07-03,4538843969
2024-07-04,4228394749
2024-07-05,4030942478
2024-07-06,4121763262
2024-07-07,4301961412
2024-07-08,4083123784
2024-07-09,4199884288
2024-07-10,4291739156
2024-07-11,4282750794
2024-07-12,4178070260
2024-07-13,4225298263
2024-07-14,4289099440
2024-07-15,4458228880
2024-07-16,4710811099
2024-07-17,4705342172
2024-07-18,4613011600
2024-07-19,4715956666
2024-07-20,5040869657
2024-07-21,5113550909
2024-07-22,5293525544
2024-07-23,5192995037
2024-07-24,5041056345
2024-07-25,5139865511
2024-07-26,5009068831
2024-07-27,5276251520
2024-07-28,5358618446
2024-07-29,5315370850
2024-07-30,5311594655
2024-07-31,5232327067
2024-08-01,5093560964
2024-08-02,4989080786
2024-08-03,4702368400
2024-08-04,4475691927
2024-08-05,4386500058
2024-08-06,4131063868
2024-08-07,4490172614
2024-08-08,4485326899
2024-08-09,4824056397
2024-08-10,4760798759
2024-08-11,4798545413
2024-08-12,4561806429
2024-08-13,4619613825
2024-08-14,4695380357
